CensusTract,State,County,Urban,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,ZIP
48027022000,Texas,Bell County,0,0,0,0,1,76543
48027022000,Texas,Bell County,0,0,0,0,1,76548
48027022000,Texas,Bell County,0,0,0,0,1,76559
48027022101,Texas,Bell County,1,1,1,1,1,76543
48027022103,Texas,Bell County,1,1,1,1,0,76543
48027022104,Texas,Bell County,1,1,1,1,1,76543
48027022105,Texas,Bell County,1,1,1,1,0,76543
48027022200,Texas,Bell County,1,0,1,0,0,76541
48027022200,Texas,Bell County,1,0,1,0,0,76543
48027022200,Texas,Bell County,1,0,1,0,0,76544
48027022300,Texas,Bell County,1,1,1,1,1,76543
48027022401,Texas,Bell County,1,1,1,1,1,76543
48027022402,Texas,Bell County,1,0,0,0,0,76542
48027022402,Texas,Bell County,1,0,0,0,0,76548
48027022403,Texas,Bell County,1,0,0,0,0,76542
48027022404,Texas,Bell County,1,0,0,0,0,76542
48027022404,Texas,Bell County,1,0,0,0,0,76543
48027022404,Texas,Bell County,1,0,0,0,0,76548
48027022405,Texas,Bell County,1,0,1,0,0,76542
48027022405,Texas,Bell County,1,0,1,0,0,76543
48027022405,Texas,Bell County,1,0,1,0,0,76547
48027022501,Texas,Bell County,1,0,1,0,0,76541
48027022501,Texas,Bell County,1,0,1,0,0,76543
48027022502,Texas,Bell County,1,0,0,0,0,76541
48027022502,Texas,Bell County,1,0,0,0,0,76542
48027022600,Texas,Bell County,1,0,1,0,0,76540
48027022600,Texas,Bell County,1,0,1,0,0,76541
48027022600,Texas,Bell County,1,0,1,0,0,76543
48027022801,Texas,Bell County,1,0,1,0,0,76541
48027022900,Texas,Bell County,1,0,1,0,0,76541
48027023000,Texas,Bell County,1,0,0,0,0,76541
48027023000,Texas,Bell County,1,0,0,0,0,76542
48027023103,Texas,Bell County,1,1,1,1,1,76541
48027023103,Texas,Bell County,1,1,1,1,1,76542
48027023103,Texas,Bell County,1,1,1,1,1,76549
48027023104,Texas,Bell County,1,0,1,0,0,76541
48027023104,Texas,Bell County,1,0,1,0,0,76542
48027023104,Texas,Bell County,1,0,1,0,0,76549
48027023105,Texas,Bell County,0,0,0,0,0,76542
48027023105,Texas,Bell County,0,0,0,0,0,76549
48027023106,Texas,Bell County,1,0,1,0,1,76549
48027023107,Texas,Bell County,1,1,1,1,1,76542
48027023107,Texas,Bell County,1,1,1,1,1,76549
48027023108,Texas,Bell County,1,0,0,0,0,76549
48027023201,Texas,Bell County,1,0,0,0,0,76544
48027023202,Texas,Bell County,1,1,1,1,0,76544
48027023202,Texas,Bell County,1,1,1,1,0,76549
48027023203,Texas,Bell County,1,0,1,0,0,76544
48027023204,Texas,Bell County,1,1,1,1,0,76543
48027023204,Texas,Bell County,1,1,1,1,0,76544
48027023300,Texas,Bell County,0,0,0,0,0,76527
48027023300,Texas,Bell County,0,0,0,0,0,76539
48027023300,Texas,Bell County,0,0,0,0,0,76542
48027023300,Texas,Bell County,0,0,0,0,0,76548
48027023300,Texas,Bell County,0,0,0,0,0,76549
48027023402,Texas,Bell County,0,0,0,0,0,76501
48027023402,Texas,Bell County,0,0,0,0,0,76511
48027023402,Texas,Bell County,0,0,0,0,0,76513
48027023402,Texas,Bell County,0,0,0,0,0,76534
48027023402,Texas,Bell County,0,0,0,0,0,76569
48027023403,Texas,Bell County,0,0,0,0,0,76513
48027023403,Texas,Bell County,0,0,0,0,0,76534
48027023403,Texas,Bell County,0,0,0,0,0,76571
48027023404,Texas,Bell County,0,0,0,0,0,76511
48027023404,Texas,Bell County,0,0,0,0,0,76527
48027023404,Texas,Bell County,0,0,0,0,0,76534
48027023404,Texas,Bell County,0,0,0,0,0,76537
48027023404,Texas,Bell County,0,0,0,0,0,76542
48027023404,Texas,Bell County,0,0,0,0,0,76571
48027023500,Texas,Bell County,1,0,1,0,0,76541
48027980001,Texas,Bell County,0,0,0,0,0,76539
48027980001,Texas,Bell County,0,0,0,0,0,76542
48027980001,Texas,Bell County,0,0,0,0,0,76544
48027980001,Texas,Bell County,0,0,0,0,0,76549
48029110100,Texas,Bexar County,1,0,1,0,1,78202
48029110100,Texas,Bexar County,1,0,1,0,1,78204
48029110100,Texas,Bexar County,1,0,1,0,1,78205
48029110100,Texas,Bexar County,1,0,1,0,1,78206
48029110100,Texas,Bexar County,1,0,1,0,1,78207
48029110100,Texas,Bexar County,1,0,1,0,1,78212
48029110100,Texas,Bexar County,1,0,1,0,1,78215
48029110100,Texas,Bexar County,1,0,1,0,1,78291
48029110100,Texas,Bexar County,1,0,1,0,1,78292
48029110100,Texas,Bexar County,1,0,1,0,1,78293
48029110100,Texas,Bexar County,1,0,1,0,1,78294
48029110100,Texas,Bexar County,1,0,1,0,1,78295
48029110100,Texas,Bexar County,1,0,1,0,1,78296
